experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x39mm AP,7.0,2.2065235783426054e-59,7.0,3.7753441534930536e-54,150.0,0.701826795880271,150.0,0.701826795880271,150.0,0.701826795880271,-18.0,0.5662033217137747
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x51mm M62,6.0,1.3135078597411185e-57,7.0,9.32976140322227e-59,126.0,0.6855515521849148,126.0,0.6855515521849148,126.0,0.6855515521849148,-18.0,0.6403887077457749
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x54R BT,3.0,2.570270850147383e-17,8.0,9.272145541030587e-14,54.0,0.4657845934782858,54.0,0.4657845934782858,54.0,0.4657845934782858,-18.0,0.4466844753894134
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,9x39mm BP,7.0,1.1572126090444254e-68,7.0,4.914914149576026e-71,-162.0,0.5177248506472204,110.0,-0.665845834617227,150.0,0.297298191112025,-162.0,0.5177248506472204
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,12.7x55mm PS12B,1.0,2.6678945889155225e-06,2.0,0.0006697323519026,-330.0,0.5180972115730733,-330.0,0.5180972115730733,6.0,0.1301594531433654,-330.0,0.5180972115730733
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,4.6x30mm AP SX,1.0,8.894631005787452e-13,2.0,1.7622109516598028e-08,-330.0,0.5558425076474373,-330.0,0.5558425076474373,198.0,0.1823218631323674,-330.0,0.5558425076474373
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,5.56x45mm M995,1.0,2.3397602550631124e-14,1.0,4.801227695824928e-21,-138.0,0.6875389707501767,282.0,-0.7066753134877145,174.0,0.625446637290404,-138.0,0.6875389707501767
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,5.7x28mm SS190,2.0,0.0006416215446034,1.0,0.0253823916376795,-258.0,0.3291317056183441,-336.0,-0.468356477658918,60.0,0.089851395452963,-258.0,0.3291317056183441
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,5.8x42mm DVC12,1.0,1.4308716455498096e-15,2.0,9.995710037992904e-13,-162.0,0.7769673450344879,-162.0,0.7769673450344879,6.0,0.1923352285779732,-162.0,0.7769673450344879
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,6.8x51mm Hybrid,2.0,1.3597979190417077e-15,1.0,6.990759580442929e-20,-210.0,0.5978963969479212,-294.0,-0.7762241026591613,6.0,0.238985979393823,-210.0,0.5978963969479212
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x39mm AP,1.0,9.227586632297598e-21,2.0,1.8304263191714093e-18,318.0,0.7063314746229081,318.0,0.7063314746229081,318.0,0.7063314746229081,-330.0,0.5189957516585524
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x51mm M62,2.0,2.866324508681638e-23,1.0,3.868055505946168e-28,174.0,0.5817195443269181,330.0,-0.7258051008739774,174.0,0.5817195443269181,-18.0,0.5290218615276636
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x54R BT,1.0,4.04712480210589e-09,2.0,9.997098592279128e-11,54.0,0.4466872388343994,54.0,0.4466872388343994,54.0,0.4466872388343994,-18.0,0.4286883288196697
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,9x39mm BP,2.0,5.6467122176898335e-22,1.0,1.802686778453185e-30,-330.0,0.609863246024488,330.0,-0.8053704165734027,318.0,0.475578464264685,-330.0,0.609863246024488
